,Date,Source,Statement,Verdict
239, president of the Nigerian Stroke Organisation,Prof Abayomi Ogun,"In Nigeria, stroke is the most common medical emergency in most hospitals. ",unproven
240, president of the Nigerian Stroke Organisation,Prof Abayomi Ogun,Stroke accounts for up to eight out of 10 neurological hospital admissions.,misleading
241, president of the Nigerian Stroke Organisation,Prof Abayomi Ogun,"At least 100,000 stroke cases occur every year [in Nigeria].",correct
242,6 October 2019,Twitter user Wenzile Madonsela Msimanga ,"In Africa, depression affects one in four women. ",incorrect
243,,,Ethiopia is the fastest growing economy globally.,mostly-correct
244,,,"800,000 cows poisoned with cowpox in Nigeria in 2019, so don’t eat beef. Share message and you could save lives.",incorrect
245,November 2019,"The Guardian newspaper, Nigeria ","In their history, Nigerian universities have not had more than 15 vice-chancellors.",incorrect
246,October 2019,President Uhuru Kenyatta ,"Five claims about the history of Mombasa, funding to coastal counties, cargo volumes at the port of Mombasa and Kenya’s life expectancy.",checked
247,October 2019,President Uhuru Kenyatta ,Mombasa is Kenya’s oldest town.,incorrect
248,October 2019,President Uhuru Kenyatta ,"Over the last six years, the counties of Kilifi, Kwale, Lamu, Mombasa, Taita Taveta and Tana River, have cumulatively received close to KSh190 billion from the national treasury.",correct
249,October 2019,President Uhuru Kenyatta ,“Under this administration … at Kilindini we have more than doubled the volume of cleared cargo passing [through] the port annually.”,incorrect
250,October 2019,President Uhuru Kenyatta ,Our life expectancy [has increased] from 35 years at independence …,incorrect
251,October 2019,President Uhuru Kenyatta ,Our life expectancy [has increased] … to 67 years currently.,mostly-correct
252,October 2019,"Gwede Mantashe, minister of mineral resources and energy ",The South African government has successfully increased the contribution of clean energy from 0% in 2010 to over 4.5% within five years.,correct
253,September 2019,Aware.org street poster in South Africa ,Half the kids who drink before the age of 18 develop alcohol dependency.,unproven
254,2019,Online graphic ,"South African Airways has 55,500 employees.",incorrect
255,October 2019,Cape of Good Hope SPCA ,"The facts are clear: animal abusers will abuse fellow humans, including vulnerable children and women.",incorrect
256,10 October 2019,News organisation Al Jazeera ,11 claims about Nigeria’s 'mental health problem',checked
257,10 October 2019,News organisation Al Jazeera ,One in four Nigerians are suffering from some sort of mental illness.,unproven
258,10 October 2019,News organisation Al Jazeera ,There are only eight neuropsychiatric hospitals in Nigeria.,incorrect
259,10 October 2019,News organisation Al Jazeera ,Nigeria has Africa's highest rate of depression.,incorrect
260,10 October 2019,News organisation Al Jazeera ,Nigeria ranks fifth in the world in the frequency of suicide.,incorrect
261,10 October 2019,News organisation Al Jazeera ,There are less than 150 psychiatrists in this country of 200 million.,incorrect
262,10 October 2019,News organisation Al Jazeera ,WHO estimates that fewer than 10% of mentally ill Nigerians have access to the care they need.,correct
263,10 October 2019,News organisation Al Jazeera ,"Yaba Psychiatric Hospital had a 2018 budget of N133 million (US$372,000) – but only N13 million ($36,000), or less than 10% of that amount, was released by the federal government.",unproven
264,10 October 2019,News organisation Al Jazeera ,"By 2018, Nigeria had allocated just 3.95% of its budget to funding its ministry of health.",correct
265,10 October 2019,News organisation Al Jazeera ,"Every week, at least 12 doctors leave Nigeria to seek employment in the UK.",incorrect
266,10 October 2019,News organisation Al Jazeera ,"Nigeria has an estimated physician-patient ratio of one doctor to every 4,000 to 5,000 patients.",mostly-correct
267,10 October 2019,News organisation Al Jazeera ,...[This is] six times smaller than the physician-patient ratio (one physician to every 600 doctors) recommended by WHO.,misleading
268,8 November 2019,President Cyril Ramaphosa ,Five claims about South African government achievements since 1994.,checked
269,8 November 2019,President Cyril Ramaphosa ,"Total university enrollment was “around 300,000” in 1994.",incorrect
270,8 November 2019,President Cyril Ramaphosa ,"45,500 people received antiretroviral therapy from the public health sector in 2004.",incorrect
271,8 November 2019,President Cyril Ramaphosa ,The size of the South African economy over the past 25 years has doubled.,correct
272,8 November 2019,President Cyril Ramaphosa ,South Africa remains the most unequal society in the world.,unproven
273,8 November 2019,President Cyril Ramaphosa ,84% of all households in South Africa have electricity.,correct
274, October 2019,Kenya’s Standard newspaper,"Since 2015, he [James Macharia] has been allocated on average 47% of the national development budget.",incorrect
275,October 2019,"Dr Isa Pantami, minister of communications and digital economy ","Information and communications technology contributes 13.9% to Nigeria’s GDP, and oil and gas contributes 8.8%. ",mostly-correct
276,September 2019,"Dr Chris Ifediora, founder of the Onyebuchi Chris Ifediora Foundation ","Of the roughly 14,000 Nigerian women diagnosed with cervical cancer every year, just over 8,000 will die.",understated
277,August 2019,Facebook page ‘Medical Talk’ ,"If you sit more than 11 hours a day, there’s a 50% chance you’ll die within the next 3 years.",incorrect
278,,,Don’t touch soya foods as they’re very bad for breast cancer.,incorrect
279,July 2019,Punch newspaper ,Four claims on female sexual and reproductive health in Nigeria,checked
280,July 2019,Punch newspaper ,Nigeria has the highest number of cases of female genital mutilation in the world.,incorrect
281,July 2019,Punch newspaper ,Nigeria accounts for about one-quarter of the estimated 115 to 130 million circumcised women worldwide.,incorrect
282,July 2019,Punch newspaper ,"For every 800 women that died globally on a daily basis as a result of pregnancy-related causes, 111 were from Nigeria. ",unproven
283,July 2019,Punch newspaper ,"Out of every [10 women] that died during childbirth, four had serious injuries such as obstetric fistula.",incorrect
284,12 September 2019,South African Minister of Police Bheki Cele ,South Africa is the only country in Africa that releases crime statistics,incorrect
285,August 2019,WellaHealth insurance service ,"Malaria kills an average of 300,000 people yearly in Nigeria.",incorrect
286,2019,African Child Policy Forum ,Nearly half of all child deaths in Africa stem from hunger,unproven
287,,,80% of Johannesburg’s inner city is inhabited by foreign nationals,unproven
288,,,70% of Nigerian children not registered,incorrect
289,5 June 2019,Johnson & Johnson tweet ,"In Kenya, 49% of new HIV infections occur among adolescents.",incorrect
290,August 2019.,"Boss Mustapha, Secretary to the Government of the Federation, Nigeria ","Two claims about N-Power, a Nigerian government job-creation and skills-building programme.",checked
291,August 2019.,"Boss Mustapha, Secretary to the Government of the Federation, Nigeria ",The N-Power programme has yielded over 2 million direct and indirect employment opportunities,Verdict
292,August 2019.,"Boss Mustapha, Secretary to the Government of the Federation, Nigeria ",The N-Power programme has lifted over 5 million Nigerians out of extreme poverty,Verdict
293,5 August 2019,"The Guardian, UK ",Nairobi accounts for 45% of Kenya’s gross domestic product,incorrect
294,July 2019,Senator Susan Kihika ,Two claims on the value of Kenya’s forestry sector,checked
295,July 2019,Senator Susan Kihika ,The forestry sector contributes 3.6% of the national gross domestic product. ,unproven
296,July 2019,Senator Susan Kihika ,60% of the national energy requirements are from wood fuel.,correct
297, July 2019,Gun Safe Cities,You are four times more likely to have your gun used against you than be able to use it successfully in self-defence.,unproven
298,June 2019,"Dr Lolu Ojo, chair of the Nigerian Academy of Pharmacy’s committee on drug and substance abuse ",Two claims on drug use in Nigeria,checked
299,June 2019,"Dr Lolu Ojo, chair of the Nigerian Academy of Pharmacy’s committee on drug and substance abuse ",“About 14.4 million Nigerians are currently on drugs”,mostly-correct
300,June 2019,"Dr Lolu Ojo, chair of the Nigerian Academy of Pharmacy’s committee on drug and substance abuse ",25% of drug users in Nigeria are women,correct
301,May 2019,"The Guardian newspaper, Nigeria ",Four claims about waste and population in Nigeria,checked
302,May 2019,"The Guardian newspaper, Nigeria ",“Nigeria generates over 62 million tonnes of waste a year.”,incorrect
303,May 2019,"The Guardian newspaper, Nigeria ",“Each person [in Nigeria] generates an average of 0.65 kg of waste per day.”,mostly-correct
304,May 2019,"The Guardian newspaper, Nigeria ",“Lagos has an estimated 21 million inhabitants.”,unproven
305,May 2019,"The Guardian newspaper, Nigeria ","“Lagos has an estimated waste generation of over 15,000 tonnes every day.”",unproven
306, chair of the council of governors,Wycliffe Oparanya,"Eight claims on agriculture, healthcare, county revenue and gender equality",checked
307, chair of the council of governors,Wycliffe Oparanya,“County governments have allocated on average 6.7 % of their total budgets to the agriculture sector.”,mostly-correct
308, chair of the council of governors,Wycliffe Oparanya,“This is just 3% less of the 10% recommended allocation [for agriculture] as per the Comprehensive Africa Agriculture Development Program (CAADP) Malabo declaration.”,misleading
309, chair of the council of governors,Wycliffe Oparanya,"“We experienced an increase in the number of functional health facilities growing from 9,858 to 10,820 in 2018 across all counties.",correct
310, chair of the council of governors,Wycliffe Oparanya, “For the year under review all County Governments allocated out of their budgets at least 20% to health.”,incorrect
311, chair of the council of governors,Wycliffe Oparanya,"“Since 2013, County Governments have cumulatively received KSh1.57 trillion worth of equitable share of allocation.”",mostly-correct
312, chair of the council of governors,Wycliffe Oparanya,KSh1.57 trillion is equivalent to 20% of the total shareable revenue of 7.8 trillion shillings.”,correct
313, chair of the council of governors,Wycliffe Oparanya,“The average development allocation by counties over the last six financial years has been 40% surpassing the legal requirement of at least 30%.”,correct
314, chair of the council of governors,Wycliffe Oparanya,"So far, each of the 47 counties has met the two-thirds threshold on the appointment of the county executive committee members, with three counties of Kilifi, Nyeri and Kericho attaining a 50-50 representation.”",correct
315,,,One in four South African employees have been diagnosed with depression.,unproven
316,,,Michael Duerr owns 57.5% of the South African Reserve Bank.,incorrect
317,June 2019,"Cross River governor, Ben Ayade ",Two claims about crime in Nigeria's Cross River state,checked
318,June 2019,"Cross River governor, Ben Ayade ",“Crimes in Cross River state represent 1.1% of the total crime in Nigeria”,incorrect
319,June 2019,"Cross River governor, Ben Ayade ",“Cross River has the least total crime in the country”,incorrect
320,June 2019,Minister of home affairs Aaron Motsoaledi ,"Between the 1st of April 2018 and June 2019 there were 2,162 fraudulent marriages.",misleading
321,May 2019,Former governor Isaac Ruto ,Kenya’s parliament approves county funding based on five-year-old revenue data,correct
322,June 2019,The Vanguard ,Two claims on Nigeria’s sucide ranking,checked
323,June 2019,The Vanguard ,Nigeria ranks 15th in the world for its suicide rate”,correct
324,June 2019,The Vanguard , “Nigeria has the highest suicide rate in Africa.”,incorrect
325,,,Three out of 10 Nigerian men are not biological fathers of their children.,unproven
326, Sicily Kariuki,Kenya’s cabinet secretary for health,The Kenyan government has increased the health sector budget by more than 30% in the last two fiscal years.,mostly-correct
327,June 2019,Bheki Cele ,Two claims about the state of policing in South Africa checked.,checked
328,June 2019,Bheki Cele ,One police officer serves 383 people in South Africa,Verdict
329,June 2019,Bheki Cele ,The UN recommends a police-population ratio of one police officer to 220 people,Verdict
330, May 2019,Kenyan website Butwaa,We are urging the public not to clear the existing loans until a case is determined on how the mobile lending apps acquired licences to operate.,incorrect
331,March 2019, Coca-Cola Nigeria ,50% of young women in northern Nigeria have no formal education,correct
332,June 2019,Finance minister Henry Rotich ,Seven claims on Kenya’s economy.,checked
333,June 2019,Finance minister Henry Rotich ,"“In 2018, our economy grew by 6.3%, up from 4.9% in the previous year.”",correct
334,June 2019,Finance minister Henry Rotich ,“This [6.3%] growth is the highest to have been recorded for the past 8 years.”,correct
335,June 2019,Finance minister Henry Rotich ,“This growth is well above the sub-Saharan Africa region average growth of 3% and the global average of 3.6%.”,correct
336,June 2019,Finance minister Henry Rotich ,“The public sector wage bill continues to rise.”,correct
337,June 2019,Finance minister Henry Rotich ,“Excise revenue has declined from approximately 3% of GDP in 2003/04 to about 2% in 2017/18.”,correct
338,June 2019,Finance minister Henry Rotich ,"”To date, 385 public entities have been registered in the portal, and 5,236 contracts published valued at Ksh 146.5 billion.”",mostly-correct
339,June 2019,Finance minister Henry Rotich ,”Kenya has been ranked 85th globally in e-commerce uptake.”,incorrect
340,2019,UK charity Penny Appeal ,Two claims on maternal and under-five mortality in Kenya.,checked
341,2019,UK charity Penny Appeal ,“Kenya has one of the worst maternal mortality rates in the world.”,Verdict
342,2019,UK charity Penny Appeal ,“Over one in 20 children die before their fifth birthday.”,Verdict
343,January 2018,Unreported World documentary ,"""One in three South African women buy skin bleaching creams.""",unproven
344,April 2019,Principal secretary for agricultural research Hamadi Boga , 70% to 80% of Kenya’s farmers are smallholders,unproven
345,May 2019,Cadbury South Africa ,South Africa has 3.7 million orphans,incorrect
346,April 2019," Johannes Wessels, director of the Enterprise Observatory of South Africa ","For every one professional immigrating to South Africa, eight are leaving.",unproven
347,April 2019,Kenyan deputy president William Ruto ,Five claims on a range of national topics.,checked
348,April 2019,Kenyan deputy president William Ruto ,“We asked six ministers (in the) last term to step aside.”,mostly-correct
349,April 2019,Kenyan deputy president William Ruto , “None of [the dropped ministers] even made it to court because the allegations that were made [against them] did not have any basis.”,incorrect
350,April 2019,Kenyan deputy president William Ruto ,"“The law says, if you are allocated a piece of land, you must develop it within two years. If you do not develop it within two years, it is supposed to revert to government.”",mostly-correct
351,April 2019,Kenyan deputy president William Ruto ,‘85% of Kenya is arid and semi-arid.’,mostly-correct
352,April 2019,Kenyan deputy president William Ruto ," ‘We put it in our manifesto, to construct 57 mega dams…”",correct
353,March 2019,702 radio host Bongani Bingwa ,Nigeria has 100 million generators in private hands.,unproven
354,February 2019, Kenya Auto Bazaar Association ,Kenya’s used car industry pays KSh49 billion in taxes,incorrect
355,,,77% of Nigerian women use skin lighteners,unproven
356,,,Two claims on housing in South Africa,checked
357,,,“We have built more than 4 million houses.”,incorrect
358,,,Ramaphosa promised to build 1 million houses in Alexandra,incorrect
359,February 2019, ThisDay newspaper ,Nigeria has 11 million stunted children,unproven
360, 2019 State of the Nation Address,Uhuru Kenyatta,Seven claims about the government's achievements,checked
361, 2019 State of the Nation Address,Uhuru Kenyatta,“Our broad-based economic growth averaged 5.6% over the last five years...”,correct
362, 2019 State of the Nation Address,Uhuru Kenyatta,”... outperforming the average global growth.”,misleading
363, 2019 State of the Nation Address,Uhuru Kenyatta,"“In 2018, provisional estimates show the economy grew by 6.1%.”",mostly-correct
364, 2019 State of the Nation Address,Uhuru Kenyatta,"”We have made tremendous gains… over the last six years, with the number of electricity connections rising from 2.2 million in March 2013 to 7.1 million as at March 2019.”",mostly-correct
365, 2019 State of the Nation Address,Uhuru Kenyatta,"“Installed capacity has increased from 1,768 MW in March 2013 to the current 2,712 MW.”",correct
366, 2019 State of the Nation Address,Uhuru Kenyatta,"”Since April 2013, more than KSh1.7 trillion shillings has been transferred to the counties.”",incorrect
367, 2019 State of the Nation Address,Uhuru Kenyatta,”Our aggressive push of this [universal access to basic education] agenda has this year seen us achieve 100% transition rate.”,incorrect
368, 2019 State of the Nation Address,Uhuru Kenyatta,“2.5 million passengers have travelled using Madaraka Express since its inception in May 2018.”,correct
369, 2019 State of the Nation Address,Uhuru Kenyatta,”Since its inception 3.881 million tonnes of cargo have been transported on the standard-gauge railway line.”,mostly-correct
370, 2019 State of the Nation Address,Uhuru Kenyatta,"”Over 175,000 Kenyans have already registered under the voluntary scheme known as ‘boma yangu.”",mostly-correct
371, 2019 State of the Nation Address,Uhuru Kenyatta,"“The micro, small and medium enterprises sector employs approximately 14.9 million Kenyans.”",correct
372,March 2019,Senior counsel Ahmednasir Abdullahi ,Three claims on funding of Kenya’s judiciary and parliament,checked
373,March 2019,Senior counsel Ahmednasir Abdullahi ,"“The entire Kenyan judiciary with 10,000 employees covering 47 counties has a budget of KSh18 billion.”",incorrect
374,March 2019,Senior counsel Ahmednasir Abdullahi ,“Parliament with only 800 employees has [a budget of] KSh40 billion.”,incorrect
375,March 2019,Senior counsel Ahmednasir Abdullahi , “Parliament… has [a budget of] KSh40 billion out of which KSh10 billion is for foreign/local trips/entertainment.”,incorrect
376,February 2019,"Mmusi Maimane, leader of South Africa’s official opposition ","In Tshwane, the DA inherited a deficit of over R1 billion from the ANC and turned it into a surplus in a year.",correct
377,,,"Five claims about jobs, unemployment, health facilities and land reform in South Africa",not-rated
378,,,Youth unemployment [in South Africa] is amongst the highest in the world.,correct
379,,,"50% of all new jobs in South Africa, in the past year, were created in the Western Cape.",misleading
380,,,"South Africa has a ratio of 1 clinic to 16,971 people, as opposed to the guideline of 1:10,000.",incorrect
381,,,The national government’s failure rate of land reform projects is currently standing at 92%.,unproven
382,,,"The Western Cape’s land reform audit found that the provincial government’s pioneering commodity approach, and through innovative solutions like the share equity schemes, had led to the success of 62% of all land reform farms in the Western Cape.",misleading
383,February 2019,"Lauretta Onochie, aide to President Muhammadu Buhari ",12 million jobs created in Nigeria’s rice production industry.,unproven
384,January 2019,News Agency of Nigeria survey ,81.8% of women in Nigeria wear wigs every day.,misleading
385,February 2019,Finance minister Tito Mboweni ,Three claims on government job creation programmes,checked
386,February 2019,Finance minister Tito Mboweni ,“Jobs for 1.1 million young people are supported by the Employment Tax Incentive (ETI) scheme.”,correct
387,February 2019,Finance minister Tito Mboweni ,"“The Jobs Fund is a vital component to private sector job creation. The fund has… created well over 200,000 jobs since its inception.”",unproven
388,February 2019,Finance minister Tito Mboweni ,"“[Funding] to the clothing and textile competitiveness programme… will support 35,500 existing jobs.”",unproven
389,,,20 claims by Lagos governor hopefuls checked,checked
390,,,“Lagos is the economic hub of Nigeria. Its economy is among the top two or three in Africa.”,unproven
391,,, “Lagos contributes significantly to Nigeria’s GDP.”,correct
392,,,"“Multiple taxation is real in Lagos but, statistically, less than 10% of the population of Lagos pay tax.”",incorrect
393,,,“About 60% of taxes in Lagos is paid by civil servants.”,unproven
394,,, “The APC government has taken the state’s monthly internally generated revenue from N600 million in 1999 to N33 billion.”,correct
395,,," “People say the internally generated revenue is high, but the budget of Lagos state is less than $3 billion.”",mostly-correct
396,,,“[Lagos’s budget] is what the city of New York uses to fight fire.”,incorrect
397,,,“The budget of the New York police department is twice that of Lagos State.”,exaggerated
398,,,“About 56% of VAT collection in this country comes from Lagos.”,unproven
399,,,“…and then we (Lagos) don’t get it back.”,misleading
400,,, “The population of Lagos is unknown.”,correct
401,,,"“Presently, we don’t have primary healthcare centres in Lagos.”",incorrect
402,,,“What Lagos is using to service debt is higher than what it devotes to education.”,exaggerated
403,,,“The recommended percentage of the budget that should go to education according to the United Nations is 26%.”,unproven
404,,,“Local governments by law are supposed to take care of primary schools across the country.”,correct
405,,,“ All public infrastructure in the state from that time complied with the [Lagos State Special Peoples] act.”,incorrect
406,,,“We are the only sub-sovereign in the world that is funding a rail longer than 7 kilometres from its balance sheet; it never happens anywhere in the world.”,incorrect
407,,,"“ Amsterdam is a city below sea level, like Lagos, but it does not suffer flooding like Lagos.”",incorrect
408,,,“Clearing the rubbish [waste] you see on the road is the responsibility of the local governments.”,correct
409,,,“The freedom of information act has not been domesticated in Lagos. ”,misleading
410,,,“YPP is the only party in Lagos with a woman as its governorship candidate.”,incorrect
411,,,“Lagos state does not have a football team.”,correct
412,February 2019,President Uhuru Kenyatta ,Kenya’s counties spent 87.3% of their entire budget on recurrent expenditure and 12.7% on development in 2017/18.,incorrect
413,,,"Five claims about land occupation, school dropout rates, unemployment, land redistribution and gender balance",checked
414,,,”80% of the population continues to occupy less than 10% of South Africa’s land”,incorrect
415,,,”South Africa has one of the highest school dropout rates”,incorrect
416,,,"”Close to 40% of South Africans who need jobs are unemployed, meaning that more than nine million South Africans who need jobs and are capable of working cannot find employment.”",correct
417,,,”The post-1994 governments have cumulatively bought less than 7% of the targeted 30% of land meant for redistribution over a period of 25 years.”,incorrect
418,,,The EFF…  “has a higher gender balance in parliament.”,correct
419,February 2019,Kenyan deputy president William Ruto ,"Nine claims ranging from diaspora remittances to the constitution, railways, electricity and Kenya’s development.",checked
420,February 2019,Kenyan deputy president William Ruto ," “In fact, the diaspora is the largest contributor [to] our foreign exchange.”",correct
421,February 2019,Kenyan deputy president William Ruto ,“[Remittances contributed] upwards of maybe KSh290 billion last year.”,exaggerated
422,February 2019,Kenyan deputy president William Ruto ," “It is a constitutional requirement… that when the president is away, the deputy president must be in the country.”",correct
423,February 2019,Kenyan deputy president William Ruto ,“We have built a standard-gauge railway [of] 600 kilometres... in the last five years.”,mostly-correct
424,February 2019,Kenyan deputy president William Ruto ,“[The railway] has been in the books of our government for 30 years – it was not built.”,incorrect
425,February 2019,Kenyan deputy president William Ruto ,“We have connected 6.9 million people to electricity in the last five years.”,misleading
426,February 2019,Kenyan deputy president William Ruto , “For 50 years only 2.3 million Kenyans were connected to electricity.”,correct
427,February 2019,Kenyan deputy president William Ruto ,"“We have constructed 7,000 kilometres of tarmac in the last five years – 12,000 kilometres were constructed in 50 years.”",unproven
428,February 2019,Kenyan deputy president William Ruto ,“The number of people on health insurance [has increased] from 3 million to 7 million in a record five years.”,mostly-correct
429,,,Eight claims by Nigeria's leading candidates for the presidency.,checked
430,,,“The question of Almajiris’ lack of primary or basic education are all local government problems.”,mostly-correct
431,,,"“When this administration came in, Boko Haram was holding 17 local governments in the northeast... they are not holding any local government now.”",unproven
432,,,“Nigeria earned US$383 billion from oil revenues in the four years preceding our government [but] there were no savings.”,incorrect
433,,,“Every country in the world that wants to undergo serious development borrows money. Our debt-to-GDP ratio of about 20% is one of the lowest in the world.”,downplayed
434,,,“We have 21 million unemployed young men and women.”,downplayed
435,,,“...We have not had it so bad in this country.”,unproven
436,,,“Capital expenditure in 2016 was N1.2 trillion and 2017 was N1.5 trillion.”,unproven
437,,,“We now have 90 million people living in extreme poverty.”,mostly-correct
438,,,Five claims about the ruling party's achievements.,checked
439,,,School attendance increased “from 51% in 1994 to 99% today”,incorrect
440,,,"“Since 1994, over 4.7 million free houses have been built benefiting over 14 million people.”",incorrect
441,,,"“More recently, we introduced unprecedented legislation in South African history – the national minimum wage – which will improve the wages of at least 6 million workers who are currently being paid below the national minimum wage level of R20 an hour.”",incorrect
442,,,"“We have invested more than R2 trillion in infrastructure projects over thepast 10 years to build more schools, clinics, roads and the freight logistics network.”",correct
443,,,“Our support for university and TVET college students from poor and working-class backgrounds through the national student financial aid scheme (Nsfas) has hugely increased from R70 million in 1994 to nearly R15 billion last year.”,mostly-correct
444,,,Various claims about South Africa's progress.,checked
445,,,"“In 2017, we recorded an inflow of foreign direct investment amounting to R17 billion.”",correct
446,,,“The World Bank's annual Doing Business Report currently puts South Africa number 82 out of 190 countries that they have tracked with regard to being able to do business in an efficient way.”,correct
447,,,"“Over the past five years, we’ve made significant progress with the provision of infrastructure. More than R1.3 trillion has been invested.”",mostly-correct
448,,,“ Over the past five years..more than R1.3 trillion has been invested to build [infrastructure including] hundreds of thousands of new homes...”,correct
449,,,“Over the past five years... more than R1.3 trillion has been invested to build [infrastructure including electrifying] more than a million homes.”,correct
450,,,"“We have launched the Youth Employment Service, which is placing unemployed youth in paid internships in companies across the country.”",correct
451,,,“Every month 17.5 million social grants are provided to South Africans.”,correct
452,,,"""Over 700,000 children [accessed] early childhood education in the last financial year...""",downplayed
453,,,“Over the past five years… [we’ve built] two new universities.”,correct
454,,,“We launched the Safe initiative in August last year...”,correct
455,,,"“... Since we launched the initiative, 699 schools have been provided with safe and appropriate sanitation facilities and projects and a further 1,150 schools are either in planning, design or construction stages.”",unproven
456,,,"“In the past year we had 10 million tourists who came to our country, which is a huge increase .”",unproven
457,,,Four promises from a 2018 national address.,checked
458,January 2019,Lindiwe Zulu ,We have got millions of Zimbabweans living in South Africa.,unproven
459,January 2019,Capital FM ,An average Kenyan will have to work almost 60 days to afford Apple's premium iPhone XS.,misleading
460,January 2019,Ugandan President Yoweri Museveni , Four claims about economic and educational progress in Uganda.,checked
461,January 2019,Ugandan President Yoweri Museveni ,"“In the last 32 years the economy has always been growing at the rates of 6.3% and above per annum except for the years 1986/1987, 2012/ 2013.”",incorrect
462,January 2019,Ugandan President Yoweri Museveni ,“The average rate of growth of the economy ever since 1986 has been 6.3% per annum.”,correct
463,January 2019,Ugandan President Yoweri Museveni ,"“In some years, the growth rate went up to 11% per annum. This was in the years 1994/95/96.”",misleading
464,January 2019,Ugandan President Yoweri Museveni ,“Universal Primary Education and Universal Secondary Education have raised the level of the adult literacy rate from 43% to 75%.”,mostly-correct
465,,,Three promises made by the ruling party in 2014.,checked
466,January 2019,Global Citizen ,"Over the past few years, hundreds of children have drowned in pit latrines in South Africa",incorrect
467,,,10 of 12 claims from three Nigerian presidential candidates.,checked
468,,,“The structure of our economy is such that services constitute 60% of it.”,incorrect
469,,,“About 60% of Nigeria’s workforce is engaged in agriculture.”,incorrect
470,,,“The rural areas of this country have about 53% of our population.”,downplayed
471,,,“44% of children in Nigeria are stunted because they are malnourished.”,correct
472,,,"“1, 400 kilometres is the length of our borders today.”",incorrect
473,,,"“We have 175 policemen to 100,000 citizens in Nigeria. UN recommendation is 300 police to 100,000 citizens; some will argue 400 police to 100,000 citizens.”",unproven
474,,,“Members of the farmers’ club make up one-third of our workforce and 60% are women.”,incorrect
475,,,"“Today, we have 108 million people that are homeless.”",unproven
476,,,“Our budget for health is 3% of the total budget. We will raise it to 15% which was agreed in Abuja.”,mostly-correct
477,,,Two claims on teen pregnancy and childbirth in South Africa,checked
478,,,"“Teenage pregnancy accounts for about 8 to 10% of all deliveries in the country, which is about a million deliveries per year.”",correct
479,,,“Close to 45% of maternal deaths come from this small 10%.”,incorrect
480,,,Eight of 10 claims from Obiageli Ezekwesili's presidential manifesto.,checked
481,,,"“ Singapore... got its independence five years after Nigeria [and] now has a real GDP per capita of $57,722, while Nigeria’s GDP per capita as at 2017 was $1,951.”",correct
482,,,"“Today, adult literacy in Singapore is 98%, while adult literacy in Nigeria is just 57%.”",Verdict
483,,,"“Unfortunately, more than 70% of Nigerians have pre-school children without access to Early Child Care Education.”",Verdict
484,,,“[The] mining sector contribution to GDP [is] below 1%...”,correct
485,,,“With the nation's entire federal budget peaking at around $30 billion...”,Verdict
486,,,“Less than 30% of the federal budget is allocated to capital expenditure.”,Verdict
487,,,"“From 1999 to date, all the projections made by successive governments to grow the supply of electricity to Nigerians to either 6,000MW, 10,000MW or 20,000MW have not been met.”",correct
488,,,"“Nigeria currently has 187 policemen for every 100,000 Nigerians, the UN recommends a ratio of 300 police officers to 100,000 people.”",Verdict
489,,,"Eight claims from the ANC’s 2019 ""January 8th statement""",checked
490,,,"“Despite economic challenges over the last few years, our economy has tripled in size over the last 25 years. ”",misleading
491,,,"“ Seven million more people are now employed today, than were employed in 1994.”",misleading
492,,,“In 1994 only three out of 10 people in South Africa had electricity…”,incorrect
493,,,“...today eight out of 10 South Africans have electricity in their home.”,correct
494,,,“Nine out of 10 South Africans today… have clean running water.”,mostly-correct
495,,,“Every day we feed 9 million children.”,mostly-correct
496,,,"“More than 4.3 million South Africans who are living with HIV receive antiretroviral treatment, making it the biggest programme in the whole world.”",correct
497,,,“ More South Africans are living longer with average life expectancy increasing to 64 years in 2018 from a low of 53 years in 2005.”,correct
498,,,"We have less than 500,000 mortgages. I think it is probably closer to 200,000 mortgages.",incorrect
499,October 2018,Democratic Alliance MP Yusuf Cassim ,60% of South African TVET colleges remain dysfunctional,misleading
500,October 2018,Murang’a county governor Mwangi wa Iria ,Nairobi makes KSh10 billion from Murang’a county water every year.,incorrect
501,2018,South African news reports ,South African Airways has not made a profit since 2011,correct
502,October 2018,Foundation for a Smoke-Free World ,49% of men and 34.1% of women in South Africa smoke tobacco,incorrect
503,November 2018,Kenyan President Uhuru Kenyatta ,China is Kenya’s number one trading partner.,correct
504,October 2018,Greenpeace ,Mpumalanga is the world’s largest air pollution hotspot.,misleading
505,October 2018, Sun newspaper ,Nigeria is the highest producer of HIV-infected babies,correct
506,November 2018,Gauteng premier David Makhura ,Two claims on the size of Gauteng’s economy,checked
507,November 2018,Gauteng premier David Makhura ,"""Gauteng contributes 35% to South Africa’s GDP.""",correct
508,November 2018,Gauteng premier David Makhura ,“Gauteng is the seventh largest economy in Africa.”,correct
509,September 2018, Kericho governor Paul Chepkwony ,Kenya’s government gets billions of dollars from Kericho’s tea but the county receives nothing.,incorrect
510,October 2018, Peoples Democratic Party vice presidential candidate Peter Obi , The current government has put Nigeria into a debt of $80 billion.,mostly-correct
511,October 2018,"Festus Keyamo, media director, Buhari Campaign Organisation ","In the first quarter of 2018, Nigeria earned N577 billion from exports of agricultural produce.",incorrect
512,September 2018," Raphael Tuju, secretary-general of the Jubilee Party ",Three claims on tax and employment in Kenya,checked
