Statement,Verdict
“The United States was energy independent in 2019 for the first time since 1957. In just 10 days we are sent back 50 years.”,barely-true
Says Joe Biden’s order stopping the Keystone pipeline “made oil more expensive for us to use.”,barely-true
“Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.”,FALSE
Says Texas has “lower taxes and less regulations than anywhere else in the U.S.”,FALSE
"Amid COVID-19, 25 of the 26 Republican governors ""have decided to play football,"" but ""three-fourths"" of the 24 Democratic governors ""have decided not to play already and most will probably not play.”",FALSE
"Says Susan Collins ""voted against accountability for opioid makers” and denied taking campaign money from a family who made its wealth selling OxyContin.",barely-true
Says Nancy Pelosi “made millions in coronavirus insider trading.”,FALSE
"If you are licensed to carry a concealed weapon, wearing a face covering for coronavirus ""removes your conceal carry ability.""",FALSE
"While in prison, boxer Jack Johnson invented and patented the first wrench, and white people insulted him by calling it a “monkey wrench.”",FALSE
Michigan governor reopened Traverse City “so she could have her daughter's open house.”,FALSE
On keeping inspectors general independent of the president,full-flop
"$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”",FALSE
"Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”",barely-true
Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,FALSE
Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,TRUE
"""To be clear, I’m not talking about confiscating anybody’s guns.""",FALSE
"Universal background checks involve asking people ""to submit the serial numbers to their guns to a state or federal official,"" and that violates the Second Amendment.",barely-true
"Quotes Thomas Jefferson as saying that ""a government big enough to give you everything you want, is strong enough to take everything you have.""",FALSE
"""We beat the NRA with tough, tough gun laws"" in Colorado. ",TRUE
"Says Bill de Blasio is ""banning hot dog sales to stop climate change.""",FALSE
"Says President Donald Trump's ""effort to roll back regulations means that Big Ag now gets to inspect its own pork"" and ""they decided to stop testing for E. coli.""",barely-true
"California’s deadly wildfires ""would never happen"" with ""proper Forest Management.""",FALSE
"California’s rent control measure Proposition 10 would have ""No effect on homeowners""",half-true
"California ""is hemorrhaging population.""",barely-true
“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”,FALSE
"“You go to a gun show, you can buy whatever you want, and no background check.""",barely-true
"In this photo, “Man uses a gun to rob a Texas convenience store. Man was shot by every customer inside the store”",FALSE
Says Sen. Cory Booker wants to require a federal license for gun owners but criticizes voter ID laws as discriminatory.,mostly-true
"“Less than 500 people a year killed by all rifles combined” and “4,000 a year killed by illegals.”",barely-true
"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",barely-true
"""Ted Cruz says owning a gun should be as hassle free as owning a car, which as I recall requires a license and registration.""",FALSE
"“In a majority of states, new voters are able to obtain a rifle quicker than they’re able to cast their first ballot.”",mostly-true
"A CNN chyron said the Boulder “shooter was factually Arabic, but morally white.”",pants-fire
"""In 2004, George W. Bush lifted the ban on those (AR-15 type) rifles, and since then, the number of massacres has increased 183%. During the ban, there were 12 incidents. Since he lifted the ban, there were 34 incidents.""",half-true
These 11 mass shootings involved an AR-15-style weapon.,mostly-true
"“Last week, the Colorado Supreme Court declared that Boulder’s AR-15 ban was unconstitutional. Today, there was a mass shooting in Boulder.”",half-true
The Atlanta shooting suspect wrote an anti-China post on Facebook prior to the shootings.,FALSE
"""90% of Americans do not support universal background checks.""",FALSE
"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",TRUE
"""Marco Rubio's 'red flag' gun confiscation bill"" calls for guns to be confiscated ""without due process, based on unsubstantiated accusations.""",barely-true
Says Jan. 6 Capitol riot “didn’t seem like an armed insurrection.”,pants-fire
"The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent, not Capitol Police.",FALSE
"""Kyle Rittenhouse used his COVID-19 stimulus check to purchase the AR-15 he used in the fatal Kenosha shooting.""",half-true
"Says Joe Biden told a factory worker, “I don’t work for you!” while pointing a finger in the worker’s face.",half-true
“BREAKING NEWS: All Charges Dropped for Kyle Rittenhouse.”,FALSE
Says Tony Evers and Mandela Barnes “have participated in rallies that have done more to incite than calm the situation” in Kenosha,FALSE
"Says video shows Kyle Rittenhouse, the 17-year-old charged with killing two protesters in Kenosha, ""was trying to get away from them"" ... ""fell, and then they violently attacked him.""",FALSE
"In contrast to how a Black man who was shot by police was treated, Kenosha police officers ""let an armed white supremacist walk right past them after shooting people.""",half-true
"Says a photo shows accused shooter Kyle Rittenhouse’s mother, armed with a long gun, in Kenosha, Wisconsin, on the night two protesters were killed and one injured.",FALSE
“At 17 years old Kyle (Rittenhouse) was perfectly legal to be able to possess that rifle without parental supervision.”,FALSE
"Says Gov. Tony Evers and Lt. Gov. Mandela Barnes, after police shooting of Jacob Blake, ""did not call for peace. They did not encourage calm.",barely-true
"Says Kamala Harris said, “If elected & you don’t surrender your guns, I will sign an executive order & the police will show up at your door.”",FALSE
Says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19,mostly-true
"“For the first time, the Honor Guard soldiers that march at the Tomb of the Unknown Soldier in Arlington Cemetery have been issued live ammunition.”",FALSE
"The Moderna vaccine contains an ingredient that is “for research use only, not meant for human or veterinary use.”",FALSE
"""There is no law that deals specifically with the term ‘partial-birth abortion.’”",FALSE
"For vaccine rates among Americans 65 and older, “there’s virtually no difference between white, Black, Hispanic, Asian American.”",FALSE
"""There’s no strings attached to that money that we’d be getting as an incentive to expand Medicaid.""",half-true
“Private insurance gives … better coverage” than people would get under a Medicaid expansion.,FALSE
Says Republican lawmakers delayed COVID-19 testing,barely-true
Says the “1986 Vaccine protection act” resulted in “the biggest jump in shots” for children because it gave drug manufacturers “exemption for responsibility of killing people.”,FALSE
"""Over the past decade, drug prices have risen at three times the rate of inflation.""",half-true
“You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.”,pants-fire
"“California’s [COVID-19] death rate has remained one of the lowest per capita in the nation: 134 deaths per 100,000, compared to 158 nationally, 153 in Texas and 247 in New York.”",half-true
"Says Gov. Andrew Cuomo ""issued a legal blanket immunity, and snuck that into our budget, giving these facilities essentially a license to kill, a get-out-of-jail free card.”",half-true
Says 5-year-olds can “take hormones and change my sex.”,FALSE
“More than 91% of the spending in this $1.9 trillion package is not used for pandemic relief.”,barely-true
“I have never sued a nun — any nuns.”,half-true
Insulin prices rose “with the swipe of (Joe Biden’s) pen.”,FALSE
"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",TRUE
"Congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",barely-true
There are “absolutely no patients” at Los Angeles hospital considered the center of region's COVID-19 surge.,pants-fire
“Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.”,FALSE
Says Charles Schumer supports “putting everybody on the Medicare system. He wants the Green New Deal … reduce funding for the police.”,FALSE
"Says her health care plan would ""ensure Americans with preexisting conditions are protected.""",FALSE
"""If you can’t get a test through Test Iowa, there are multiple other sites: your doctor, your clinics, your pharmacies, the stroke detection clinic centers.""",mostly-true
“Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.”,mostly-true
"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",barely-true
"A lawsuit against the Affordable Care Act backed by West Virginia Attorney General Patrick Morrisey “would eliminate health care for over 800,000 West Virginians.”",barely-true
"Says Joni Ernst ""supports the lawsuit that's headed to the Supreme Court that will” repeal the Affordable Care Act.",half-true
"""Mike Parson opposes protections for pre-existing conditions.”",mostly-true
"""I am for protecting pre-existing conditions. … I actually co-sponsored legislation to do just that.""",mostly-true
"Says U.S. Rep. Ann Wagner “voted five times against protecting pre-existing conditions.""",mostly-true
Upton “voted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditions”,mostly-true
"""There is no law that deals specifically with the term ‘partial-birth abortion.’”",FALSE
"For vaccine rates among Americans 65 and older, “there’s virtually no difference between white, Black, Hispanic, Asian American.”",FALSE
"“For #Covid vaccines, shingles and even more dangerous and painful skin conditions may be the new thrombocytopenia.""",barely-true
"“Sorry Dr Fauci and other fearmongers, new study shows vaccines and naturally acquired immunity DO effectively neutralize COVID variants.”",half-true
"“When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America.”",barely-true
"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",TRUE
"The result of lockdowns “has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.”",barely-true
"The science says “open the schools, stop wearing masks outside, and everyone at low risk should start living normal lives.""",FALSE
"South Dakota ""did have tragedies and we did have losses. But we also got through (the pandemic) better than virtually every other state.""",barely-true
“Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.”,barely-true
The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”,FALSE
"“Because our family couldn’t afford health insurance, Obama/Biden penalized us about $10,000, then took that $10,000 and used it to pay for others’ free Obamacare. Trump ended that theft.”",barely-true
"“Under the Affordable Care Act, three states get 35% of the money, folks. Can you name them? I'll help you: California, New York and Massachusetts.”",half-true
"Drivers will “get guaranteed earnings, health care benefits, personal protections, and they can maintain their flexible schedules.”",half-true
"Says Donald Trump “is pushing to slash Medicare benefits.""",half-true
"“They have 180 million people, families under what he wants to do, which will basically be socialized medicine — you won’t even have a choice — they want to terminate 180 million plans.”",pants-fire
“We saved 2 million people” from dying of COVID-19.,barely-true
“Donald Trump and Thom Tillis opposed legislation that would lower the price of insulin and other prescription drugs.”,mostly-true
“The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself.”,FALSE
"“The reality is when you look at the Biden plan, it reads an awful lot like what President Trump and I and our task force have been doing every step of the way.”",pants-fire
"Says he ""fights for everyone with a preexisting condition.”",barely-true
“There's 100 million people that have preexisting conditions.”,mostly-true
"“For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment.”",mostly-true
Says he authored legislation “to guarantee coverage to people with pre-existing conditions -- no matter what happens to Obamacare.”,FALSE
“Drug overdose deaths decreased in 2018 for the first time in 30 years.”,mostly-true
“Does the #DemConvention know @NYGovCuomo forced nursing homes across NY to take in COVID positive patients and planted the seeds of infection that killed thousands of grandmothers and grandfathers?”,barely-true
"“The fact is that in terms of the risk to schoolkids, this is lower risk than seasonal influenza.”",mostly-true
"“As of the last 24 hours this is the protocol regarding masks: Masks should only be used by healthcare workers, caretakers or by people who are sick with symptoms like fever and cough.”",FALSE
"“[Steve] Bullock’s health care plan will force rural hospitals to close. Medicare as we know it will change, replaced by a government-run program with fewer doctors and longer wait times.”",FALSE
“Five veterinary labs have their CLIA certification to officially test human patients. There are a lot of labs who are doing surveillance testing that don't need the CLIA certification.”,mostly-true
Schools stopped teaching children cursive so they wouldn’t be able to read the U.S. Constitution and other historical documents.,pants-fire
“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”,FALSE
"""Only in the Third World do you see this habitual use of prosecutions of former leaders.”",FALSE
"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",TRUE
Says that this year is the first time during his 27 years as senator “that two African Americans have ever served on the same (Senate) committee.”,FALSE
"Says George Patton said, “Politicians are the lowest form of life on earth. Liberal Democrats are the lower form of politicians.”",FALSE
Says someone tried to suppress votes by disguising trash cans as ballot boxes.,FALSE
"Says that Nikita Khrushchev said, “Your children's children will live under communism. You Americans are so gullible. No, you won't accept communism outright; but, we will keep feeding you small doses of socialism until you will finally wake up and find you already have Communism.” ",FALSE
Says “Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.”,FALSE
Says Donald Trump funded a Veterans Day parade 26 years ago in New York City after the city refused to pay.,mostly-true
 Says Melania Trump is the “first FLOTUS to visit troops in a combat zone since 1969.”,FALSE
Says James Madison “signed the Declaration of Independence.”,FALSE
"“Melania dug up the WH Rose Garden, removing roses from every First Lady since 1913.”",FALSE
“Central Park actually used to be a town called Seneca Village” founded by African Americans in 1825.,mostly-true
“The first Statue of Liberty given to the U.S. by France was a Black woman which the U.S. rejected.”,FALSE
“America was the ONLY country that ended” slavery,FALSE
No U.S. presidents elected before Donald Trump were racist.,FALSE
"Says a leader of the Blackfeet Nation tribe designed the current Washington Redskins logo and once said it “made us all proud to have an Indian on a big-time team.""",mostly-true
Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,TRUE
"""You weren't allowed to own a cannon during the Revolutionary War as an individual.""",FALSE
“Joe Biden’s great-grandfather Joseph J. Biden was a slave-owner and fought” for the Confederacy.,FALSE
Photo shows Klansmen and a burning cross at “the Democratic National Convention of 1924.”,FALSE
Aunt Jemima was photographed chained to a table.,FALSE
"Former slave Nancy Green, the first Aunt Jemima model, died “as one of America’s first black millionaires.”",FALSE
Says Robert E. Lee opposed slavery and secession and has come to symbolize both slavery and secession.,barely-true
"Says it was ""a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.”",FALSE
"“Joe Biden was involved in a plot to kidnap JFK Jr. according to the just declassified FBI files, and also made several threats.""",pants-fire
"Joe Biden ""already has what is the most progressive platform of any major party nominee in history.""",half-true
"“Remember, the American Revolution began when they came for the guns.”",half-true
“Epstein’s recruiter Ghislaine Maxwell’s father Robert Maxwell gave Mitt Romney his first $2M investment and started him in business.”,barely-true
Says the nation is locked down and there’s “a wide open border.”,FALSE
"“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”",barely-true
“We spent billions on a border wall and quit when it was 90% finished.”,barely-true
"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",barely-true
“We’re sending back the vast majority of the families that are coming.”,FALSE
The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,half-true
"""We saw the increases (of unaccompanied minors at the southern U.S. border) dating back almost a year.""",mostly-true
Says the Biden administration is canceling immigration detainers and “requiring our law enforcement leaders to release” serious criminal offenders.,half-true
"Says he requested “10,000 National Guardsmen” for his Jan. 6 rally, but Nancy Pelosi “rejected it.”",FALSE
"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",FALSE
"“Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",barely-true
"The Biden administration “halted deportations for all illegal aliens — murderers, rapists, terrorists, MS-13 gang members are not being deported.""",FALSE
"“Just for the record, the Biden Administration IS separating children and parents.”",FALSE
"Only Nancy Pelosi is “responsible for what happened at the Capitol” on Jan. 6, “security at the Capitol is her job.”",barely-true
"“For the first time in American history, if you're seeking asylum ... you can't do it from the United States. … You’ve got to seek asylum from abroad.”",barely-true
"""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",FALSE
"Changes to DACA during his administration are ""because of the pandemic.""",FALSE
Says Martha McSally “voted to take away money from Fort Huachuca to pay for the border wall.”,half-true
Says Joe Biden “is even talking about taking the wall down.”,FALSE
"Asked about asylum seekers in camps in Mexico, “This is the first time ever you've had to seek asylum in a third country.”",mostly-true
“Portland goon squads were Blackwater contractors not federal officers.”,FALSE
The President’s Daily Brief “is like a mini novel.”,FALSE
"“80% of the American people support our Dreamers. Over 70% think they should have a path to citizenship, and that's Democrats, Republicans, independents.”",mostly-true
"If President Trump decides to deploy the U.S. military domestically, he would be “mobilizing U.S. military troops on American soil for the first time since 1807.”",FALSE
Says Ron Johnson and 36 other senators “voted for federal agencies to have access to your internet history without obtaining a warrant.”,barely-true
"“On the Southern border, as you know, the wall is going up, it's going up very rapidly. We're at 182 miles.”",half-true
"Speaking about border apprehensions, said “We have some of the best numbers we've ever had. Southern border, the best numbers we've ever had.”",half-true
"Says a 2007 immigration bill “was opposed by (the League of United Latin American Citizens), the largest Latino organization in America. The Southern Poverty Law Center called its guest-worker programs akin to slavery. … And you know who voted with me on that one, Joe? Barack Obama.”",half-true
“You had the last two administrations deport twice as many people as we deported — twice as many.”,half-true
"“Amy Klobuchar vows to resettle 500 percent more refugees, none in her neighborhood.”",half-true
"“New York's 1,200+ homeless veterans are ineligible for these $15,600 payments.”",barely-true
"The COVID economic relief package “included $600 million for San Francisco, part of which goes to cover the tab for free alcohol and marijuana for the homeless.""",FALSE
"New York City could pay to house its homeless population in hotel rooms currently sitting vacant, but Mayor Bill de Blasio “has absolutely to this point refused to do that.”",mostly-true
"During his tenure as mayor of New York City, “street homelessness decreased by 28 percent.”",TRUE
"""Back in 2005, when we did that first point-in-time count, there were over 188,000 thousand people that were deemed homeless in the state of California. … That’s 35,000 more than we have today.”",half-true
"The city of Austin has ""removed, seemingly, any legal consequences to the actions where the homeless lie, sleep, where they defecate.""",FALSE
"""90,000 Californians are unsheltered and homeless."" ",TRUE
"""The City of Austin is dedicating more than $20,000 PER HOMELESS PERSON in Austin.""",half-true
"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",TRUE
"Says President Trump’s administration has ""actually worsened our nation’s homelessness crisis"" by cutting affordable housing programs, allowing shelters to refuse people based on gender identity or sexual orientation, evicting immigrant families of mixed legal status from subsidized housing and raising rent.",barely-true
"""The vast majority"" of San Francisco’s homeless people ""also come in from — and we know this — from Texas. Just (an) interesting fact.""",pants-fire
" ""You look at the homelessness situation. Take a city like Tokyo, which has more people than New York City. There's no homelessness there.""",mostly-true
"Says recent changes to Austin city policy give homeless people more rights than property owners and allow for ""homeless camps on private property, business frontage, and even public sidewalks."" ",FALSE
A photo of a homeless camp on old railroad tracks is present-day Los Angeles.,FALSE
"""15 homeless people have already been found frozen to death in Chicago.""",FALSE
"Says Gavin Newsom ""didn’t solve the homeless problem at all"" as mayor of San Francisco, ""and it’s gotten worse.""",half-true
"""In San Francisco, we were successful in reducing our street population 40 percent. We got 12,000 people off the street.""",half-true
"""For what it would cost the (National) Guard to make just two arrests at the border, we could give a homeless veteran permanent housing for an entire year.""",mostly-true
"""Homelessness has skyrocketed across California. We have the nation’s highest homelessness rate and the nation’s highest homeless population.""",mostly-true
"""The only housing authority in the state that we have actually given money to is NYCHA.""",FALSE
"""Obama is in Texas serving meals!""",pants-fire
"""In Houston, Texas, today, there are no homeless veterans."" ",barely-true
"Says Joe Biden said, “I lived in Section 8 housing as a little boy.”",FALSE
“Suburbs are by and large integrated.”,half-true
Democrats and Joe Biden “want to abolish the suburbs altogether by ending single-family home zoning.”,FALSE
"“For the past three years, the state senator who represents Speaker Nancy Pelosi’s San Francisco, has led a push to abolish single-family zoning in California.”",half-true
“The Democrats don’t want to do anything having to do with protecting people from eviction.”,FALSE
“34% of Wisconsin renters are at risk of eviction.”,mostly-true
President Donald Trump “put a hold on ALL EVICTIONS through December.”,FALSE
"Say that according to the Los Angeles Times, “95% of warrants for murder in Los Angeles are for illegal aliens,” more than two-thirds of all births in Los Angeles County “are to illegal alien Mexicans” on Medicaid, “nearly 60% of all occupants of HUD properties are illegal,” and Nancy Pelosi “wants to put a windfall tax” on retirement fund profits.",pants-fire
"“Today, the gap between African American and white homeownership is larger than it was in the late 1960s.”",TRUE
"If you paid rent in March or April, “they got to give” you your money back.",FALSE
"""Back in 2005, when we did that first point-in-time count, there were over 188,000 thousand people that were deemed homeless in the state of California. … That’s 35,000 more than we have today.”",half-true
“Mayor Bloomberg was busy blaming African Americans and Latinos for the housing crisis in 2008.”,barely-true
"Says since he took office, the City of Milwaukee has seen the creation of 7,000 new affordable housing units.",TRUE
"""90,000 Californians are unsheltered and homeless."" ",TRUE
"Says President Trump’s administration has ""actually worsened our nation’s homelessness crisis"" by cutting affordable housing programs, allowing shelters to refuse people based on gender identity or sexual orientation, evicting immigrant families of mixed legal status from subsidized housing and raising rent.",barely-true
"""The vast majority"" of San Francisco’s homeless people ""also come in from — and we know this — from Texas. Just (an) interesting fact.""",pants-fire
"""Studies show at the minimum wage, you can’t rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment."" ",TRUE
"More than 100,000 people are waiting for public housing in Houston and people who are in the country illegally are taking their spaces.",barely-true
"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",TRUE
"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",TRUE
"""Right here (in West Virginia), they are building new houses … so that 321 Syrian Muslims can move down into this neighborhood in two months. … (A funeral home) is to be torn down in two months, and a mosque is going to built there.""",pants-fire
"Says that ""despite the tremendous amounts of money that have gone into it, only 400 family (housing) units have been created"" in the last 12 years through Chicago’s Affordable Requirements Ordinance.",barely-true
"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!""",TRUE
"Says Gavin Newsom ""didn’t solve the homeless problem at all"" as mayor of San Francisco, ""and it’s gotten worse.""",half-true
"California’s rent control measure Proposition 10 would have ""No effect on homeowners""",half-true
"""Close to half of the children"" in California are ""at or near poverty,"" when you consider cost-of-living.",TRUE
"""Fully half the people — our research is showing half the people — in (California) want to leave.""",half-true
"""SHOCK REPORT: Senator McCaskill BUSTED Funneling Millions of Tax Dollars to Her Hubby.""",barely-true
"""In 99 percent of counties in America, someone making the minimum wage working full time can’t afford a 1-bedroom apartment.""",mostly-true
"In New York City, ""for every one person experiencing homelessness here, there are about three vacant apartments."" ",mostly-true
"With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”",barely-true
“South Korea sprays rioters with dye so they can be identified & arrested later.”,barely-true
"Says ""Muhammad owned many slaves"" while Robert E. Lee was ""against slavery."" ",FALSE
"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",TRUE
"""'Caravan' Migrant Army Paint Swastika on American Flag, Burn It in the Street."" ",FALSE
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",FALSE
"""Trump votes for death penalty for being gay.""",FALSE
"""Mitch McConnell was one of the few senators that voted after Tiananmen Square not to have punitive actions against China for human rights violations.""",FALSE
"""Red Crescent Says No Evidence of Chemical Attack in Syria’s Douma.""",FALSE
"The North Carolina bathroom bill ""was really never repealed.""",barely-true
"""Today, 27 million people .. are enslaved.""",mostly-true
"""In 2015 roughly 10,000 political arrests occurred in Cuba. That is five times as many as occurred in 2010, when there were only about 2,000.""",mostly-true
"""FBI confirms evidence of huge underground Clinton sex network.""",pants-fire
"""The director of the FBI said that we cannot figure out who (Syrian refugees) are, what their intentions are, because we have no information on them, because we don’t have any contact with the Syrian government or any people on the ground to be able to determine that.""",half-true
"The stories from women saying he groped or forced himself on them ""largely have been debunked.""",FALSE
"Says Hillary Clinton ""wants to have open borders.""",barely-true
"Says ""Donald Trump proposes to deport 16 million people, 11 million who are here without documents, and both Donald Trump and Mike Pence want to get rid of birthright citizenship."" ",half-true
"Says Donald Trump has outlined ""policies that read like a Kremlin wish list.""",mostly-true
"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays. ",FALSE
"Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent.""",TRUE
"Says in 2012 ""Obama won in every state that did not require a photo ID and lost in every state that did require a photo ID in order to vote.""",FALSE
"Because of the Trans-Pacific Partnership ""we’ve got a country like Malaysia taking really serious efforts to crack down on human trafficking."" ",mostly-true
"Says Donald Trump ""is going to go out and carpet bomb"" the Middle East.",FALSE
"""Human trafficking is the third-biggest criminal enterprise in the world."" ",mostly-true
"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",TRUE
"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian  ... refugees . . .  despite the fact that there’s no way to screen these refugees in order to find out who they are or where they come from."" ",half-true
"African-Americans don't use drugs at a higher level than whites but ""wind up going to prison six times more.""",mostly-true
"""A gay man who survived #orlando hate crime can STILL show up to work in FL tomorrow and have his boss fire him simply because he is gay.""",mostly-true
"Says Apple products are currently ""90 percent conflict-free,"" and ""Intel is 100 percent conflict-free.""",barely-true
"Says Hillary Clinton ""plans to massively increase admissions (of Middle East refugees) … including a 500 percent increase in Syrian refugees coming into our country.""",mostly-true
“One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.”,half-true
"“Human trafficking and drugs” at the Mexico border have “doubled, tripled and quadrupled” since Joe Biden became president.",FALSE
“The Biden Administration is buying Kamala Harris’ book with our taxpayer dollars.”,FALSE
Says the nation is locked down and there’s “a wide open border.”,FALSE
"""Kids in cages"" in border facilities are ""at 700% capacity.""",half-true
“We have encountered the largest surge of migrants (at the southern border) in the last 20 years.”,barely-true
"“Kids at the border: 2,600 highest number Trump, 12,000 currently under Biden.”",half-true
“Report: Biden administration busing ‘thousands’ of illegals to red states to get permanent status.”,FALSE
“The Biden administration is engaging in human trafficking because they are enabling this to happen” at the southern border.,FALSE
“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,TRUE
"“Less than 500 people a year killed by all rifles combined” and “4,000 a year killed by illegals.”",barely-true
"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",barely-true
“We spent billions on a border wall and quit when it was 90% finished.”,barely-true
"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.”",half-true
"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",barely-true
“We’re sending back the vast majority of the families that are coming.”,FALSE
"""Illegal border crossings are up 173% from 1 year ago and 28% since January when President Biden stopped the wall & deportations and started catch & release.""",half-true
"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",barely-true
The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,half-true
The southern U.S. border “is now open to anyone from anywhere in the world who wishes to enter our country.”,FALSE
"""When I became governor, we banned sanctuary cities and we also did E-Verify.""",mostly-true
"Says Joe Biden is “now saying he inherited ‘a mess’ at the border. Fact: 9,000 illegals all of 2020. So far in 2021 108,000 entered U.S.”",FALSE
"""We saw the increases (of unaccompanied minors at the southern U.S. border) dating back almost a year.""",mostly-true
"“Illegal aliens will receive $1,400 stimulus checks.”",barely-true
Says the Biden administration is canceling immigration detainers and “requiring our law enforcement leaders to release” serious criminal offenders.,half-true
"Current immigration ""apprehension numbers are worse than the 'crisis' Biden/Obama/Pelosi acknowledged in 2014!""",mostly-true
“The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.”,barely-true
"The voting bill known as H.R. 1 would mean “that millions of illegal immigrants are quickly registered to vote.""",FALSE
"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",FALSE
"“Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",barely-true
"Donald Trump's second impeachment ""cost $33 million.""",FALSE
"After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",barely-true
“Manipulated Video used in House Impeachment Looks to Have VIOLATED House Rules”,FALSE
"Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",barely-true
The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,TRUE
"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",barely-true
Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”,FALSE
